Macht	мощь, сила, могущество, власть
vollziehen	совершать, осуществлять; приводить в исполнение (напр., приговор)
Einheimische	местный, местные жители
Polizeibeamter	полицейский
Fahrgast	пассажир
bisherig	прежний
Reiz	раздражение, возбуждение
zugrunde	погибнуть, разрушить
einstecken	вкладывать (шпагу в ножны); засовывать, всовывать, сунуть
Stiftung	фонд (пожертвований, добровольных взносов) на благотворительные, культурные и т. п. цели
versiegeln	запечатывать; опечатывать
entzücken	восхищать
Gegenleistung	встречное исполнение
Präsentation	представление, презентация
Erdboden	земля; почва, грунт
rätselhaft	загадочный
Geburtstagsgeschenk	подарок ко дню рождения
vorenthalten	задерживать, не давать (что-л. кому-л.); незаконно лишать (чего-л.)
verrichten	исполнять
überspringen	перепрыгивать, перепрыгнуть, перескакивать, перескочить
glühend	раскалённый, горячий
verzaubern	заколдовать, околдовать; зачаровать, очаровать
Voraussetzung	условие, предпосылка
Quartier	квартира; жильё
Schmerzmittel	болеутоляющее
Schwindel	головокружение
öde	пустой, пустынный, бесплодный, скучный
ledig	холостой
Hebel	рычаг; рукоятка; коромысло; консоль, вага; домкрат
stürmisch	бурный (тж. перен.)
verabreichen	давать
Vorgehensweise	способ действия; метод; принцип
freudig	радостный, весёлый
zuziehen	тащить, тянуть (по направлению к чему-л.), подтаскивать, подтягивать (к чему-л.)
Ablauf	ед. ч. спуск, сток (воды, пруда)
Anker	якорь, анкер
besessen	одержимый (чем-л.), помешанный (на чём-л.); бешеный, неистовый
Trümmer	обломки, руины
Verwirrung	путаница, беспорядок
Gewand	одеяние, одежда, платье
Schwiegersohn	зять
Dynamit	динамит
Unordnung	беспорядок, непорядок, ералаш, неразбериха
antreiben	побуждать, мотивировать
Quark	творог, кварк
vorzüglich	превосходный
Auskunft	справка, справочная, совет
zurückfahren	ехать обратно, возвращаться назад
Pflaster	пластырь
surfen	сёрфинг
vereint	объединённый, вместе
ausführlich	подробный, детальный
Insasse	пассажир, седок, обитатель, жильцы
Impfstoff	вакцина
Kindermädchen	нянька, няня
Panne	авария
gefälscht	поддельный, подложный, фальшивый
Erbse	горох, горошина
kürzen	укорачивать
überwältigend	подавляющий (о большинстве, превосходстве)
Latte	брус, брусок, перекладина, стояк
Eiche	дуб
Traube	виноград
Henne	курица
Mülleimer	мусорное ведро
Ehepaar	супружеская чета, супруги
verpacken	упаковывать
vorliegen	существовать
hocken	сидеть на корточках
verschlechtern	ухудшать
Galgen	виселица
Schwimmbad	бассейн
austricksen	разг. обойти, обвести (противника)
Frequenz	частота
Straftat	преступление
Heiratsantrag	предложение о браке, брачное предложение, предложение руки и сердца
barfuß	босой, босоногий, босиком
Waisenhaus	дом (интернат) для сирот; детский дом
verleugnen	отрицать
herbei	при этом
bereithalten	держать наготове, приготовлять
rüberkommen	заходитьнсв, переходитьнсв, восприниматьсянсв, бытьнсв понятным
Bissen	кусок
besichtigen	посещать
Vereinigung	объединение
Wahrnehmung	восприятие
Wichtigkeit	важность
Anliegen	желание, стремление; просьба; требование; задача, дело
ertappen	поймать, застигнуть, заставать (кого-л. за каким-л. занятием)
monatlich	месячно
Bereitschaft	готовность
spendieren	угощать (чем-л.); раздавать; платить (за что-л.)
eingestehen	признавать
begründen	обосновать
weiterfahren	продолжать ехать (идти), ехать (идти) дальше
Bösewicht	злодей
Hengst	жеребец
grinsen	скалиться, скалить зубы, усмехаться, ухмыляться; осклабиться
Kappe	шапка
Festland	материк
verspotten	насмехаться, высмеивать, глумиться
gelähmt	парализованный
Vermieter	наймодатель, арендодатель, хозяин
Verzögerung	задержка, промедление
auszahlen	выплачивать; выдавать (деньги и т. п.)
abliefern	доставлять, показывать, демонстрировать
spaßig	шутливый
Nachkomme	потомок
einweihen	посвящать, делиться, открывать
Letzter	последний
auffressen	пожирать, сжирать
Rabatt	скидка
Überlegung	размышление
leuchtend	яркий; блестящий
Speisekarte	меню
gültig	действительно
Peitsche	кнут
aufrufen	вызывать, призывать
Strömung	течение; поток; обтекание
Köter	презр. о любой собаке: собачонка, дворняжка, шавка
zurückschicken	посылать
Magier	маг, волшебник, колдун
Pelz	мех
Todesfall	случай смерти, (зафиксированная) смерть кого-либо
verrecken	сдохнуть, дохнуть, околеть, околевать
Schlamassel	разг. неприятность; неловкое положение; невезуха, невезение, несчастье
atemberaubend	захватывающий дух, умопомрачительный
unfreundlich	недружелюбный, неприветливый
abwerfen	сбрасывать
Einhorn	единорог
aufkommen	появляться, платить, приземляться
glaubwürdig	достоверный
Geschäftspartner	деловой партнер
Stiefmutter	мачеха
Aufenthaltsort	местонахождение, местопребывание
wählerisch	разборчивый; прихотливый
werben	вербовать; набирать; привлекать к какому-либо делу
Weihnachtsbaum	рождественская ёлка, ёлка
ausrutschen	поскользнуться
neunte	девятый
Schlägerei	драка
beschwören	присягать, клясться, умолять, наколдовать
rücksichtslos	бестактный, бесцеремонный
nachholen	навёрстывать, нагонять, догонять; успеть сделать (упущенное ранее)
Schwuler	гей, гомосексуал, педик, гомик
Vorzug	предпочтение
ausschlafen	высыпаться
Demut	смирение
Orchester	оркестр
anderswo	в другом месте
herb	терпкий, резкий
niederbrennen	сжигать (дотла), испепелять
Verleger	издатель
gewillt	готовый, склонный
Rechenschaft	отчёт; подотчётность
Metzger	мясник
Abwasch	грязная посуда
einwandfrei	безукоризненный, безупречный
verweisen	делать выговор (замечание, внушение) (за что-л. кому-л.)
betätigen	приводи́ть в де́йствие, занима́ться
fallenlassen	отказаться (от чего-л., от кого-л.); отказать в поддержке (кому-л.)
Haltestelle	остановка
drangehen	подойти (к телефону)
zerren	тянуть, тащить
unwiderstehlich	неотразимый (об атаке, о доводах)
quietschen	скрипеть
Arbeitszeit	рабочее время
Siedlung	поселение
Quere	поперечное направление
vertiefen	углублять (тж. перен.)
Wirbel	вихрь, вихор, позвонок, лад
niederlassen	спускать, опускать
saubermachen	чистить, убирать
kaputtgehen	портиться; ломаться; биться, разбиваться
Niete	пустой (безвыигрышный) лотерейный билет
Reh	козуля
Darlehen	ссуда
ausgestorben	вымер
kichern	хихикать
abknallen	застрелить, пристрелить, подстрелить; прикончить (выстрелом)
nächtlich	ночной
überarbeiten	перерабатывать
höchstwahrscheinlich	вероятнее всего
Einnahme	доход
beliebig	произвольный
verstummen	неметь, замолкать, смолкать, умолкать
missfallen	не нравиться
Erzählung	рассказ
erläutern	пояснять, разъяснять, толковать
wahrhaft	настоящий, истинный
erhören	услышать; выслушать; внять (чьей-л.) просьбе (мольбе)
Schleier	покрывало; вуаль; фата; чадра
Säufer	груб. пьяница
herausholen	вытаскивать; выводить (напр., самолёт из виража)
allmächtig	всемогущий
gleichmäßig	соразмерный, симметричный; равномерный
herrje	господи, ой-ой
Zufriedenheit	удовлетворение
ununterbrochen	непрерывный
verdeckt	скрытый, тайный
Stapel	стопка, стопа, кипа, штабель
recherchieren	исследовать, разыскивать
unvermeidlich	неизбежный
schäbig	потёртый, изношенный
anstoßen	подталкивать, чокаться
verpfeifen	жарг. доносить (на кого-л.), выдавать (кого-л.)
Sportler	спортсмен
Pärchen	парочка
Fels	скала, утёс, Фельс
Eröffnung	открытие, дебют
Durchsuchungsbefehl	ордер на обыск
aufschlitzen	взрезать, разрезать; распарывать, вспарывать
geplant	запланированный
ungesund	нездоровый
Fachmann	специалист
Mieter	съёмщик, арендатор
Wahlkampf	предвыборная кампания, избирательная кампания
Untertan	подчинённый
eingeben	давать, внушать, вводить
woraus	из чего, откуда
huch	ой, ух ты
stellvertretend	заместитель, исполняющий обязанности
Bindung	привязанность
gewissermaßen	до некоторой степени, в известной степени
Mylord	милорд
Kopfhörer	наушник
Erfinder	изобретатель
Anhörung	слушание
Schlucht	каньон
ungeheuer	монстр
gekonnt	умелый, мастерский
Genuss	наслаждение
Ermittler	сыщик
wiederherstellen	восстанавливать, вылечить
schleudern	катапультировать, центрифугировать, швырять
eintauschen	обменивать, менять, выменять (на что-л.)
auserwählen	избирать, выбирать; облюбовать
Vergeltung	возмездие
Weilchen	некоторое время
beachtlich	значительный
unterhaltsam	развлекательный
abbekommen	получать
ängstigen	пугать, страшить, бояться, пугаться
Unkraut	сорняк
zerbrechlich	ломкий, хрупкий; бьющийся
schieflaufen	не удаваться, разладиться
runtergehen	спуститься вниз
anflehen	умолять (кого-л. о чём-л.), взывать (к кому-л. о чём-л.)
Lagerhaus	склад, амбар
homosexuell	гомосексуальный
ungeschickt	неловкий, неумелый, нерасторопный
Tätowierung	татуировка
herholen	принести, доставить (что-л.); привести (кого-л.)
unvernünftig	неразумный
zauberhaft	волшебный, магический
Esszimmer	столовая
Streitkraft	вооружённые силы
Leinwand	полотно, холст, холстина, экран
Verwundete	раненый, раненые
Nervensäge	тот, кто нервирует других, тот, кто действует другим на нервы
gerissen	майка, футболка (спортивная)
adieu	прощание, прощальное слово
Beifall	овация
ineinander	друг в друга, вместе
Urgroßvater	прадед, прадедушка
Schnürsenkel	шнурок (для обуви)
Gebühr	плата, пошлина , сбор
Bürgersteig	тротуар
List	уловка, хитрость
fruchtbar	плодовитый
Fax	факс
Ersparnis	экономия (an D в чём-л.)
Gleichung	уравнение
artig	послушный, воспитанный (б. ч. о детях); учтивый, вежливый
telefonisch	телефонный, по телефону
Verschwendung	расточительство
Anstalt	учреждение, заведение; институт
Grausamkeit	жестокость, зверство
ertönen	(за)звучать, прозвучать; раздаваться; (за)звенеть
Waggon	вагон
einschenken	разливать (напитки); наливать (кому-л. кофе, вино и т.п.)
Zauberspruch	заклинание, заговор
gleichfalls	также
Bushaltestelle	автобусная остановка
Mitmensch	ближний
wohlfühlen	чувствовать себя хорошо
einstürzen	неперех. обрушиваться, обваливаться
weglassen	отпускать (кого-л.)
Jahrtausend	тысячелетие
ausverkaufen	распродавать
Eintopf	густой суп, заменяющий первое и второе блюдо
schädlich	вредный
aufmuntern	ободрять, подбадривать
Übersetzer	переводчик
gewaltsam	насильственный
Trophäe	трофей
sichten	сортировать, просеивать, грохотить
Kanzlei	канцелярия
erlassen	издавать, обнародовать, освободить, избавить
Gefangenschaft	плен, неволя
abschleppen	оттаскивать; отбуксировать
Schwiegervater	тесть, свёкор
Reißverschluss	молния
Grinsen	ухмылка
Attentäter	убийца
Schließfach	ячейка, камера хранения
streiken	бастовать, забастовать
Beere	ягода
Ausschlag	сыпь
Festnahme	задержание, арест
Beschäftigung	занятость, трудоустройство, занятие
grenzen	граничить
Ausführung	выполнение, реализация, исполнение, версия
Sprengstoff	взрывчатое вещество, взрывчатка
ehrenhaft	честный, порядочный
beanspruchen	требовать, эксплуатировать, использовать
Desaster	катастрофа
Abgeordneter	депутат, делегат
schnüffeln	нюхать, обнюхивать
Komponist	композитор
Liebesbrief	любовное письмо
auffliegen	взлетать, распахиваться
Merkmal	признак, примета
hingeben	отдавать, предоставлять; передавать во владение
Gefäß	сосуд, эфес
gefällig	услужливый, любезный
Spind	узкий одностворчатый шкаф
untreu	неверный
Zar	царь
gesetzlich	законный
Vermittlung	посредничество, содействие, передача
Plätzchen	местечко
reinfallen	попасться, влипнуть
städtisch	городско́й
boxen	боксировать
streuen	сыпать, рассыпать; разбрасывать; рассеивать; посыпать
Webseite	веб-страница
Irrenhaus	разг. дом для умалишённых, психиатрическая больница; сумасшедший дом
Abflug	вылет, взлёт
organisiert	организованный
Handvoll	горстка
Umkreis	окрестность, описанная окружность
Nachforschung	расследование
Wanze	клоп
verbluten	умерать от потери крови
dermaßen	так, таким образом; настолько, до такой степени
Heiligkeit	святость
geizig	скупой, жадный
Lupe	лупа
zertrümmern	разбивать
Unverschämtheit	наглость, бессовестность
Schneesturm	метель, пурга
wöchentlich	еженедельный
runterkommen	спуститься вниз
zuteilen	раздавать, выделять (кому-л.); оделять, наделять (чем-л. кого-л.)
Abfahrt	отход, отправление
Geschick	мастерство, судьба, участь
Ermordung	убийство
Flittchen	пренебр. девушка лёгкого поведения
Trank	напиток
Gründer	основатель
grotesk	гротескный, нелепый
Unfug	глупость, хулиганство
Lebensstil	стиль жизни
ungünstig	неблагоприятный
zusammenschlagen	ударять друг о друга
heimgehen	возвращаться домой, разойтись по домам, идти домой
Brei	каша
zweieinhalb	два с половиной
Fallschirm	парашют
machtlos	бессильный
entspringen	убегать, ускользать, бежать (от кого-л., откуда-л.)
Angeber	хвасту́н, бахвал
Telefonat	телефонный разговор, телефонограмма
hinterhältig	вероломный, коварный
beschämt	пристыженный
Waisenkind	сирота
vorführen	выставлять на показ, демонстрировать, показывать (что-л. кому-л.)
Periode	период
Kralle	коготь
bewundernswert	удивительный, достойный восхищения
Befugnis	полномочие
abdecken	открывать, раскрывать
Spielsache	игрушка
regelrecht	правильный
Auffassung	мнение, взгляд, представление, восприятие
Groll	злоба, злость, затаённый гнев
Exfreund	бывший друг, бывший парень
begrenzt	ограниченный
Gästezimmer	гостиная
Übergang	переход, переезд, переправа (действие и место)
vorzeitig	досрочный; заблаговременный, преждевременный
Rücksitz	заднее сидение
Kapsel	капсула
Bundesstaat	федерация
Vorstellungskraft	воображение
Komiker	комик
erstarren	застывать, коченеть, цепенеть
Ausdauer	выдержка, выносливость
einliefern	доставлять; поставлять; сдавать; вручать
verwalten	управлять, руководить
grundlos	бездонный
Edelstein	драгоценный камень
Kaufmann	торговец
umwandeln	преобразовать, превратить, трансформировать
erklingen	(за)звенеть; (за)звучать; раздаваться
zerbrochen	разбитый
forschen	исследовать, изучать, разыскивать
Biss	укус
Aufsicht	надзор, контроль, смотритель, контролёр
Rücktritt	отставка
Geschäftsreise	командировка
Denkmal	памятник
Treppenhaus	лестничная клетка
leichtsinnig	легкомысленный
Beichte	исповедь
Hinterkopf	затылок
unbezahlbar	бесценный, неоплатный (напр., об услуге)
weihen	церк. освящать, святить
Recherche	поиск, исследование
untertauchen	погружаться (напр., о подводной лодке)
Internat	интернат
Sorgerecht	юр. право родительской опеки; родительские права
gesprächig	разговорчивый, словоохотливый
überziehen	покрывать
verbeugen	кланяться, поклониться, склоняться, преклоняться
Titelseite	титульная страница
Lotto	лото
erkranken	заболеть (чем-л., от чего-л.); захворать, занемочь (разг.)
Äußeres	внешность, наружность
Genesung	выздоровление; излечение; поправка
Einwanderer	переселенец, поселенец
Mülltonne	бак для мусора, мусорный ящик, мусорка
Buchladen	книжный магазин
Beherrschung	контроль, самоконтроль, владение
Badeanzug	купальный костюм, купальник
Misserfolg	неуспех, неудача
Witzbold	шутник
enttäuschend	разочаровывающий
katastrophal	катастрофический, ужасный
Adel	дворянство, аристократия
überfüllt	переполненный
derzeitig	нынешний, теперешний, современный
Speise	блюдо, кушанье, пища, колокольная бронза
öfters	часто
ausrotten	уничтожать, истреблять
Spieß	копьё, пика, вертел
zugreifen	хватать, брать
Gerichtssaal	зал судебного заседания
Beule	шишка
würgen	душить
Waschbecken	умывальник; умывальная чаша, таз
Erbarmen	сострадание, жалость, милосердие
hastig	в спешке
nachvollziehen	повторять, воспроизводить
Absturz	падение
Bremse	тормоз, слепень
bewerfen	забрасывать, закидывать (кого-л., что-л. чем-л.)
Durchschnitt	среднее число, разрез
Zigeuner	цыган, цыганин
jubeln	ликовать, веселиться
Eintrag	запись
kennzeichnen	маркировать, помечать, характеризовать, отмечать
Maßstab	масштаб
Floh	блоха
verwehren	запрещать, препятствовать, отказывать
Landwirtschaft	сельское хозяйство
falten	складывать; сгибать
Scharfschütze	снайпер
Strick	верёвка
lose	несвязанный, свободный, подвижной; незакреплённый; слабый; расшатанный; шаткий; расхлябанный
Unterschlupf	укрытие
durchlesen	прочитать ( полностью , от корки до корки)
vortragen	декламировать, исполнять, спеть, изложить
misstrauen	не доверять, сомневаться, подозревать
hervorbringen	производить, порождать
Verachtung	презрение
verständnisvoll	понимающий
Spionin	женск. к Spion; шпионка
Asyl	убежище, политическое убежище
Wendung	поворот, разворот; вираж; оборот
Fanatiker	фанатик
Übereinstimmung	соответствие, согласие
Unterbewusstsein	подсознание
Lappen	тряпка
Kaviar	икра
Stadtrat	городской совет
erringen	добиваться, достигать (чего-либо в борьбе, труде), завоёвывать
bleich	бледный
Bescheidenheit	скромность
schlampig	неряшливый, небрежный
absuchen	обыскивать
austragen	разносить, разрешать, исчерпать, вы́носить
saftig	сочный
Schwindler	мошенник, аферист, обманщик; шарлатан
Schweinefleisch	свинина
Kelch	кубок, чаша
windig	ветреный
Archäologe	археолог
verzögern	замедлять (темп); задерживать, тормозить, затягивать (дело)
gefüllt	наполненный
überschätzen	переоценивать
unanständig	неприличный, непристойный
Vorführung	демонстрация, показ
Kreislauf	круговорот; круговой (непрерывный) процесс; цикл; циркуляция
vorsätzlich	преднамеренный, умышленный, нарочно, умышленно
anheben	(слегка) приподнимать
entfliehen	бежать, убегать, спасаться бегством, сбежать
versöhnen	примирять, помириться, смириться
ungefährlich	неопасный, безопасный
Elch	лось, рогоносец
aufbrauchen	израсходовать, использовать, издержать, употребить
Schnabel	клюв
Kanne	кувшин
Bademantel	купа́льный хала́т
unangebracht	неуместный
grauenvoll	ужасный, страшный
Wechselgeld	сдача
zutrauen	считать (кого-л.) способным (на что-л., к чему-л.)
Ami	амер, америкос, пиндос, янки
verblassen	выцветать, блёкнуть
nanu	(да) ну!, что ты [что вы]!; неужели!; вот ещё! (возглас удивления)
neuerdings	недавно, с недавних пор, вновь, опять
umkippen	опрокидывать
aufrechterhalten	поддерживать
Versprechung	обещание
schocken	шокировать
skrupellos	беззастенчивый
aufheitern	развеселить
vorschreiben	наставлять, предписывать
anschnallen	пристёгивать (пряжкой, ремнями); надевать (коньки, лыжи и т. п.)
Redner	докладчик, оратор
Tätigkeit	деятельность
Belästigung	домогательство
Horde	орда
diesbezüglich	относящийся к этому
unterlassen	не делать, не выполнять, не предпринимать (чего-л.), отказываться (от чего-л.); упускать (что-л.)
vergleichbar	сопоставимый, сравнимый, аналогичный, сходный
unbequem	неудобный
Galerie	галерея
Herzanfall	разг. сердечный приступ
leitend	ведущий, руководящий
labern	нести чушь, болтать чепуху
überrascht	удивлённый, поражённый, озадаченный
Ellbogen	локоть
Truhe	сундук
montags	по понедельникам
Hähnchen	курятина
Freitagabend	вечер пятницы
irgendwoher	откуда угодно
rothaarig	рыжеволосый, рыжий
schrubben	чистить, скоблить, тереть шваброй
Splitter	осколок
zugänglich	доступный
geisteskrank	душевнобольной
Großzügigkeit	великодушие
Beobachter	наблюдатель
Kontaktlinse	контактная линза
Physiker	физик
anmerken	отмечать; делать отметку (на чём-л.); записывать (на память)
Teddybär	медвежонок, плюшевый медведь, плюшевый мишка, мишка
verspeisen	съедать
Gymnasium	гимназия
Besorgnis	трево́га, опасе́ние
einbrocken	(на)крошить
schmoren	тушить (мясо), томить
bedrängen	притеснять, угнетать, преследовать; теснить; осаждать (просьбами и т. п.); наседать (на противника), теснить
Klingone	клингон
Exil	изгнание
allerletzte	самый последний
vorherig	канц. предыдущий, прежний
spuken	являться, бродить (о призраке)
Geldbörse	кошелёк, бумажник
eitel	тщеславный, самовлюблённый, напрасный, безнадеждный
Augenzeuge	очевидец
Notarzt	врач скорой помощи, врач неотложной помощи
schockierend	шокирующий
Inder	индиец
Tulpe	тюльпан
Dreh	съёмка
Zuhälter	сутенёр
anfordern	требовать
Bezeichnung	наименование
austrinken	выпить
Transporter	транспортное судно; транспортный самолёт; автомобиль-тяжеловоз; трейлер
Anleitung	инструкция
Bewerbung	просьба, заявка, заявление
Sommerferien	летние каникулы
einlösen	обналичивать
einflussreich	влиятельный
sechzehn	шестнадцать
erfreulich	отрадный, радостный, весёлый
rührend	волнующий
Lieferwagen	фургон
krepieren	сдохнуть, подохнуть, дохнуть, подыхать
pusten	дуть
Anrufbeantworter	автоответчик
Missbrauch	злоупотребление, изнасилование
nachfragen	(nach D, высок. тж. D) справляться, осведомляться, расспрашивать, (раз)узнавать (о ком-л., о чём-л.)
Viertelstunde	четверть часа
Entschlossenheit	решительность, решимость
kommunistisch	коммунистический
Fracht	фрахт
doll	разг., рег. (сев.-нем.) непривычный, невероятный, умопомрачительный, сногсшибательный, потрясающий
Ansatz	анзац
Ahne	предок
Schwelle	порог, на грани, шпала
überlisten	перехитрить, провести
anlassen	запускать, пускать, не выключать, не снимать
Kobold	кобольд
entbehren	нуждаться, обходиться (без чего-либо), лишённый (чего-либо)
Spinat	шпинат
durchsehen	просматривать, пересматривать, проверить
Bengel	сорванец, озорник
Lösegeld	выкуп
Verstoß	нарушение
verschleiern	закрывать вуалью, маскировать, вуалироваться
ausnahmsweise	в виде исключения
verbünden	заключать союз, объединяться (с кем-л., против кого-л.)
Almosen	милостыня, подачка, подаяние
Kraftwerk	электростанция
ausstrecken	растягивать; протягивать; распростирать; прокатывать; волочить (металл)
behutsam	осторожный
einigermaßen	до некоторой степени, мало-мальски, кое-как, более или менее; сносно
Kartenspiel	карточная игра
Pastete	паштет
ausreißen	вырывать
Pole	поляк, лях, пшек
Ananas	ананас
nachsichtig	снисходительный, терпимый (gegen A к чему-л.)
nimmer	никогда
Seuche	эпидемия
krümmen	искривлять, искривляться, корчиться, кривиться
achtzehn	восемнадцать
First	конёк
Viech	животное, зверь, зверюга
entlarven	разоблачать (кого-л.), срывать маску (с кого-л.); обличать (что-л.)
Kreide	мел
Unsicherheit	опасность
abbauen	горн. добывать; разрабатывать (мсторождение)
deprimierend	удручающий, угнетающий
Gräber	землекоп
spurlos	бесследно
Ruck	рывок, толчок
Verkehrsunfall	несчастный случай на транспорте, дорожное происшествие
Empfänger	получатель, приёмник
verspätet	опоздавший, с опозданием
selbstbewusst	уверенный в себе, самоуверенный
schluchzen	рыдать, всхлипывать
Gewürz	пряность, приправа, специи
berechtigen	давать право (кому-л. на что-л.); уполномочивать (кого-л. на что-л.); давать основание (кому-л. для чего-л.)
Luftwaffe	военная авиация
leidtun	жаль, сожалеть
Maschinengewehr	пулемёт, автома́т
hineinziehen	втягивать
Schuft	бран. подлец, негодяй, мерзавец; плут, мошенник
aussichtslos	безнадёжный
Stichwort	лозунг
Aschenbecher	пепельница
Gehorsam	послушный
verzeichnen	неправильно нарисовать (изобразить), исказить (тж. перен. в литературном произведении)
wachsend	растущий, возрастающий, увеличивающийся
ablassen	перестать, отстать, выпустить
Gehirnwäsche	промывание мозгов, промывка
Notwehr	самооборона
besiegeln	устар. прикладывать печать (к чему-л.), скреплять печатью (что-л.); запечатывать (что-л.)
Speicher	склад, хранилище, чердак, носитель информации
einberufen	созывать
spionieren	шпионить (за кем-л.), выведывать
beinah	почти
Reporterin	репортёр (женщина)
hinken	хромать
Pracht	великолепие
bestürzt	потрясённый, ошеломлённый
verschlimmern	ухудшать, усугублять
Einverständnis	согласие; соглашение
mühsam	трудный
Begierde	(страстное) желание (nach D чего-л.); стремление (к чему-л.); алчность, жадность (к чему-л.); чувственность, вожделение; страсти
Träumer	мечтатель
Däne	Датчанин
angesehen	уважаемый, респектабельный
Finanzierung	финансирование
Buße	покаяние
Abtreibung	выкидыш
Waffenstillstand	перемирие
Einsicht	просмотр (чего-л.), ознакомление (с чем-л.)
wegschmeißen	выбрасывать, отбрасывать, ржать
teilhaben	участвовать
wühlen	копать, копаться, рыться, подстрекать
einweisen	давать указания (кому-л.), инструктировать (кого-л.)
glühen	накалять, раскалять; калить, прокаливать; отжигать; обжигать
subtil	тонкий, деликатный, нежный; осторожный
abdrehen	отвёртывать, свёртывать
Gin	джин
Erdgeschoss	первый этаж
liegend	лежащий, лежачий; расположенный, находящийся; покоящийся
Stroh	солома
erhellen	освещать, озарять
heizen	отапливать, топить
Aktentasche	портфель
Kopfweh	головная боль
Menschenrecht	права человека
bevorstehen	предвидеться
Einfahrt	въезд, заезд, ворота, подъезд
Lanze	пика, копьё
währenddessen	тем временем
hereinlassen	впускать
Umlauf	хождение, обращение (денег, бумаг)
Eroberung	завоевание
knüpfen	завязывать (узел, тж. перен.)
Demonstrant	демонстрант, участник демонстрации
Bann	изгнание, ссылка; опала; отлучение от церкви; объявление вне закона
blendend	ослепительный, слепящий
überlaufen	переливаться (через край) (тж. перен.); бежать (о кипящей жидкости)
Krampf	физиол. судорога, конвульсия, спазм
verbiegen	изгибать, выгибать, искривлять
undicht	неплотный, редкий
totschlagen	забивать
umstimmen	настраивать на другой тон, переубеждать
ertränken	топить, утопить
beschatten	защищать от солнца, затенять (что-л.), бросать тень (на кого-л., на что-л.)
Diplom	диплом, свидетельство, аттестат; грамота
riesengroß	огромный, громадный
Denkweise	образ мышления
verstören	смутить, сбить с толку, напугать
ablösen	заменять, отделять, отделяться, отходить
Gänsehaut	гусиная кожа
Beruhigungsmittel	успокаивающее средство (лекарство)
ankämpfen	бороться (с чем-л., с кем-л.)
Gottesdienst	богослужение, молебен
belassen	оставлять
plädieren	произносить речь перед судом ( о прокуроре или защитнике); отстаивать какое-л. положение
unnütz	бесполезный, ненужный
Eifer	рвение, усердие, пыл
Umhang	накидка; мантилья; пелерина
Verurteilung	осуждение
gedeihen	(хорошо) расти, развиваться; уродиться
Balken	бревно, балка
Postamt	почтамт
mittendrin	разг. в самой середине (по месту)
Reinheit	чистота
Sündenbock	козёл отпущения
berechtigt	обоснованный, правомерный
Elternteil	родитель
Leuchtturm	маяк
herankommen	подходить, приближаться
Schlafanzug	пижама
voraussagen	предсказывать, прогнозировать
durchleben	переживать, пережить
Theke	прилавок, (буфетная) стойка
verheilen	заживать
hiesig	здешний
dasitzen	присутствовать (сидя)
Republikaner	республиканец
Rückstand	задолженность, долг
abkühlen	охлаждать, остужать, охлаждаться, остывать
Mahl	пища, трапеза, обед, ужин
Bahnsteig	перрон, платформа
Erkrankung	заболевание
enttäuscht	разочарованный
Staatsanwaltschaft	прокуратура
Baumwolle	хлопок
reimen	рифмовать
üblicherweise	обычно, часто, широко
schwerfallen	даваться с трудом
verhängen	завешивать, налагать
vererben	передавать по наследству, завещать (кому-л.)
empor	вверх
liegenlassen	оставлять (лежать) (где-л.); забывать
verwundbar	уязвимый
traumhaft	сказочный, упоительный
Vorsatz	форзац, нахзац
gewählt	избранный, выбранный
Verkleidung	переодевание
folglich	в дальнейшем, впредь, в будущем, на будущее
erfolglos	безуспешный
verschlossen	запертый, закрытый
stinksauer	очень недовольный
Falte	складка, морщина
dahinterstecken	стоять за этим
bevorstehend	предстоящий
Wolle	шерсть, подшёрсток
Straßenrand	край дороги, обочина
gewährleisten	гарантировать, обеспечивать (что-л.); поручиться ( за что-либо)
Schaum	пена
herauf	вверх, наверх
Unsterblichkeit	бессмертность
denkbar	мыслимый
Saat	сев, посев, сеяние, семенной материал
ausschlagen	брыкаться, лягаться, выбивать, вышибать
Nummernschild	щиток с номерным знаком
meditieren	размышлять
verdient	заслуженный, заслуживать
schälen	чистить
Spielregel	правила игры
Energiequelle	источник энергии
Waschbär	енот
entfachen	разжигать, раздувать
Beteiligung	участие
Aufruf	призыв
geschätzt	уважаемый, почтенный
Abzeichen	значо́к, знак
Kundin	клиентка
seelisch	душевный, психический
Beachtung	принятие во внимание; соблюдение (правила)
betrübt	грустный
Spüle	катушка; бобина; шпуля, шпулька
schwerwiegend	веский
Armbanduhr	наручные часы
Schneemann	снежная баба, снеговик
hinwegkommen	преодолеть, пережить (что-л. неприятное)
sprechend	говорящий
weiterleiten	передавать
behüten	оберегать
Schleife	бант; лента
selbstsüchtig	себялюбивый, эгоистичный; корыстный
geehrt	уважаемый, польщён
involvieren	заключать (содержать) в себе, включать в себя; повлечь за собой
Häschen	зайчонок
absichern	защищать, предохранять (от чего-л.); застраховать (от чего-либо)
Arznei	лекарство
Malerei	картина, живопись
verhexen	околдовать; перен. тж. очаровывать, чаровать
verwischen	стирать, смазывать (написанное и т. п.)
unmoralisch	безнравственный
machbar	осуществимый, выполнимый
umfassend	обширный, широкий
übereinstimmen	совпадать (напр., с чьим-л. мнением)
fehl	неправильно, ошибочно
Faulpelz	лентяй, лежебока, лодырь
Ausblick	вид, перспектива
gläubig	верующий
