Macht	мощь, сила, могущество, власть
beichten	исповедоваться (в грехах)
davonlaufen	убегать
blenden	ослеплять
Verein	объединение
Bonbon	конфета, леденец
umgehend	немедленный
Grippe	грипп
Verhaftung	арест, задержание; взятие под стражу
vermisst	пропавший, без вести пропавший
verbrauchen	потреблять
Kratzer	царапина
Flecken	пятно
lahm	парализованный, медленный, скучный
ereignen	случаться, происходить
quer	через
vortäuschen	симулировать
schuften	разг. надрываться, вкалывать, работать, не разгибая спины
Bischof	епископ
unmittelbar	прямой, непосредственный
glänzend	блестящий, сияющий; лоснящийся
Riss	трещина, разрыв, сечение, расщелина
Ausbruch	начало (войны, грозы и т. п.); (внезапное) возникновение; вспышка, взрыв
Hülle	оболочка, скорлупа, упаковка
Türe	дверь
scheußlich	ужасный
immerzu	постоянно, беспрерывно, всё время; то и дело
erbauen	строить
Wahrscheinlichkeit	вероятность
vollenden	завершать, заканчивать
christlich	христианский
verriegeln	запирать
anderthalb	полтора
wiedergutmachen	возмеща́ть
schlank	тонкий, стройный
Entführer	похититель (женщины, ребёнка)
vorerst	сперва, прежде всего, пока
Platte	доска, плита, пластина, пластинка
entwischen	ускользать
Perücke	парик
kneifen	щипать, сжимать, отступать
beheben	устранять, ликвидировать (напр., недочёты); преодолевать (трудности)
vorläufig	предварительный, временный, временно
verlässlich	надёжный
kauen	жевать
einjagen	вгонять, загонять; вбивать
klarstellen	выяснить, распутать, разъяснять, объяснить, прояснить
vernehmen	слушать, допрашивать
hinkommen	приходить (туда); попадать (туда)
Ähnlichkeit	сходство, подобие
ausflippen	быть вне себя
Stier	бык, Телец
Wirt	хозяин, квартиросдатчик, реципиент
Bestätigung	подтверждение
Angehörige	члены, участники, родственница
schlüpfen	проскользнуть, скользнуть, ускользнуть, напялить
Fußboden	пол
Jammer	плач, причитание, вопль, стенания
Ader	кровеносный сосуд, прожилка, прожилок, жила
auffinden	находить, отыскать
Päckchen	небольшая розничная упаковка; пакетик конфет и т. п., пачка сигарет и т. п.
unwohl	плохо (себя чувствовать)
verschreiben	допустить ошибку, выписывать, прописывать, посвятить себя (чему-либо), отдаться (чему-либо)
bessern	улучшать, делать лучше, улучшаться, становиться лучше
Philosoph	философ
Besen	метла, веник
Erfüllung	выполнение, исполнение, осуществление
Verband	соединение
jährlich	ежегодно
Gatte	муж, супруг
herausbekommen	(с трудом) вытащить, извлечь (напр., гвоздь)
Handgelenk	запястье
nähren	питать, кормить
erkundigen	справляться / справиться (&lsqb; &rsqb, осведомляться / осведомиться (&lsqb; &rsqb, разузнавать / разузнать , узнавать / узнать (
Damm	насыпь, вал, дамба, плотина
Ausstellung	выставка
derart	настолько, до такой степени
Würfel	куб, кубик, игральная кость
Sonnenbrille	со́лнечные очки́
hinnehmen	брать, взять (себе)
schummeln	мухлевать
umfallen	опрокидываться, падать
ausschließlich	исключительный, исключительно, исключая, не включая
Soße	соус
Mühle	мельница
gesellschaftlich	общественный
niederschlagen	влиять, воздействовать
Notizbuch	записная книжка, блокнот
klatschen	хлопнуть
nachmittags	днём
säubern	чистить, мыть; убирать
Regenbogen	радуга
Messe	месса, католическая литургия, богослужение; обедня
Bruch	разрыв, перелом, грыжа, нарушение
Wecker	будильник, Веккер
rückgängig	обратный, попятный
Donner	гром
Sahne	сливки, сбитые сливки
schubsen	толкать
ausstatten	одарять, наделять
Briefmarke	почтовая марка
beerdigen	хоронить, погребать
vermieten	сдавать внаём; отдавать напрокат
Prophezeiung	пророчество
vorgeben	притворяться, прикидываться, задавать, устанавливать
Verwendung	употребление, применение, использование, ходатайство
Höflichkeit	вежливость
Einwand	возражение
Rücksicht	внимание
Schale	кожура, скорлупа, панцырь, пиала
sofortig	немедленный
berücksichtigen	учитывать, принимать во внимание
vorfallen	случаться, происходить
Vers	стих, строфа
Prostituierte	проститутка
Wörterbuch	словарь
Orangensaft	апельсиновый сок
umsetzen	переставить, реализовать, претворить в жизнь, выполнить
Fälschung	фальсификация
ausfindig	разыскать, обнаружить
Tierarzt	ветеринар
gedenken	помнить, намереваться
schreiten	шагать, ступать; шествовать; идти
hinsehen	взглянуть
vergießen	поливать
Glückspilz	счастливчик
Abzug	отход, вывод войск, вытяжка, вычет
abgehen	отходить, отправляться; уходить; уезжать, отплывать; стартовать; делать бросок со старта
betäuben	оглушать (о шуме)
einbauen	встроить
Großteil	большая часть
bohren	сверлить
vorbeischauen	(умышленно) не видеть (не замечать) (кого-л., чего-л.); не обращать внимания (на кого-л., на что-л.)
Lebensunterhalt	средства к жизни; пропитание
schmücken	украсить
erwürgen	душить
entzünden	зажигать, возбуждать, загораться, воспаляться
Autogramm	автограф
einleiten	начинать
Zutat	ингредиент
zurechtkommen	справляться
Glanz	глянец, блеск, сияние, лоск
Gesichtsausdruck	выражение лица
hinziehen	тащить, тянуть (туда)
Menschlichkeit	человечество
Wrack	обломок
Rippe	ребро
stricken	вязать
Gewerkschaft	профессиональный союз, профсоюз
überreichen	вручать
verblüffen	ошеломлять, озадачивать, поражать (кого-л. чем-либо)
Verbesserung	поправка, исправление
Luxus	люкс, роскошь
verschicken	отправлять, посылать, рассылать, направлять
Zivilist	гражда́нское лицо́
Anfall	приступ, припадок
abweisen	отказывать, отказывать (в иске), отклонять, оставлять без удовлетворения, не удовлетворить (иск, исковое заявление)
verehrt	почитаемый
Hausfrau	домохозяйка
Tarnung	kamufljásh
gleichgültig	равнодушный, безразличный, безучастный
befriedigen	удовлетворять
Abfall	отбросы
insbesondere	особенно, в особенности, прежде всего
loslegen	начинать; приниматься за что-либо
joggen	бегать трусцой
Rechner	компьютер, микрокалькулятор
selig	благословенный, счастливый
strahlend	излучающий; лучистый
Bewährung	устар. подтверждение (на деле), доказательство (чего-л.)
schleifen	точить
vorbeigehen	проходить, пройти мимо
ärgerlich	раздражающий
glänzen	блестеть, сиять; лосниться
erlösen	освобождать, избавлять, спасать; выручать; выкупать
Bücherei	библиотека
Karre	тачка; тележка; вагонетка
Schmutz	грязь
Fähre	паром
berufen	ссылаться, апеллировать, назначать
Sklaverei	рабство
Stau	пробка
durchfallen	проваливаться, падать (сквозь что-л.); проскакивать (через грохот, решето)
Sanitäter	мед. санитар
verabscheuen	ненавидеть
munter	бодрый, весёлый
Briefkasten	почтовый ящик
Vorsitzender	председатель
Halskette	ожерелье
taufen	крестить
basteln	мастерить
Gauner	мошенник, ловкач
Maulwurf	крот, диверсант, шпион, вражеский агент
Seide	шёлк, повилика
Hintertür	задняя дверь; чёрный ход
Dolch	кинжал, кортик
schmieden	ковать
Garderobe	гардероб
klammern	техн. скреплять скобой
Schütze	стрелок, Стрелец
Notaufnahme	отделение экстренной помощи
Leichnam	труп
Zutritt	доступ; вход
Gleis	рельсы, путь
Junggeselle	холостяк
Kröte	жаба, деньги
repräsentieren	представлять (какую-л. страну, организацию и т. п.)
Wohlstand	преуспевание
ärztlich	врачебный, медицинский
predigen	проповедовать
Vergewaltigung	изнасилование
Vorurteil	предрассудок
Regenschirm	зонт
Neid	зависть
aufschlagen	удариться, распахнуться, вспыхнуть, разбить
Leser	читатель
Verlobung	обручение
Sicherheitsdienst	охрана, служба безопасности
Berufung	призвание, ссылка, апелляция, приглашение
Nebenwirkung	побочное действие
indisch	индийский
verboten	запрещённый
erstechen	закалывать, убивать
Unabhängigkeit	независимость
Reinigung	чистка, химчистка
Schwiegermutter	тёща, свекровь
spätestens	самое позднее
zucken	вздрогнуть; вздрагивать, подёргиваться; трепетать, биться
Ehrgeiz	честолюбие, тщеславие
phantastisch	фантастический, невероятный; причудливый
dreizehn	тринадцать
blamieren	(о)позорить, (о)срамить, (с)компрометировать
Arbeitgeber	работодатель
schonen	беречь, щадить; обходиться бережно (с чем-л., с кем-л.); сохранять, оберегать
Strahlung	излучение, радиация
Begleiter	спутник, аккомпаниатор, артикль
lesbisch	лесбиянский
Bluse	блузка
abfeuern	выстрелить, произвести выстрел (из какого-л. оружия)
wohlhabend	состоятельный, зажиточный
Tabak	табак
durchstehen	вы́де́рживать, вы́держать
Papagei	попугай
aufdecken	накрывать стол (чем-л.); стелить на стол (скатерть)
Biest	скот, скотина (б. ч. о крупном рогатом скоте)
Laken	простыня
versteckt	спрятанный, скрытый
Dachboden	чердак
verschlafen	проспать (какое-либо время)
Hausmeister	управдом
Pfanne	сковорода, сковородка
Schwangerschaft	беременность
seither	с тех пор
anordnen	расставлять, расстанавливать, упорядочивать, приказывать
Sackgasse	тупик
vormachen	приладить (что-л. перед чем-л.)
Anstand	приличие; умение себя вести, манеры
vernachlässigen	пренебрегать
mangeln	недоставать, не хватать (чего-л.)
beruhigend	успокаивающий, успокоительный, седативный
Komplize	сообщник
inwiefern	насколько, в какой мере
schwächen	ослаблять; обессиливать
unglücklicherweise	к несчастью, на беду
ausgraben	выкапывать, вырывать, раскапывать
erreichbar	достижимый, доступный
Häuptling	вождь, бонза, шеф
Hauch	дыхание
praktizieren	практиковать
Hinrichtung	смертная казнь, казнь, экзеку́ция
Geldbeutel	кошелёк, портмоне
Kampagne	кампания
Lebenslauf	жизнеописание, резюме
Freundlichkeit	приветливость, любезность
angewiesen	зависимый, вынужденный
Kiefer	сосна, челюсть
Schlussfolgerung	вывод, заключение
zerschlagen	бить, разбить / разбивать, ломать, разломать / разламывать
zärtlich	ласковый
durchschnittlich	средний
formulieren	формулировать
Fernbedienung	телевизионный пульт, пульт, тыкалка, тапок
Vorliebe	предпочтение
Erleichterung	облегчение
Hörer	слушатель (слушающий)
Erpressung	шанта́ж, вымога́тельство
Straßenseite	сторона улицы
Umzug	переезд, шествие, процессия
Ausschuss	комитет, комиссия, брак
anbauen	возделывать (поле)
lebenslänglich	пожизненный; бессрочный
Strafzettel	штрафная квитанция
zusagen	обещать, соглашаться, понравиться
verheiratet	женатый, замужний
bestehlen	обворовать
Knoblauch	чеснок
bewältigen	преодолевать (что-л.), справляться (с чем-л.), осиливать (что-л.)
ausgesprochen	выраженный
Rückseite	оборот, обратная сторона, тыл
bedauerlich	досадно
anhängen	вешать, привешивать, подвешивать, навешивать; нацеплять, прицеплять; брать на буксир
überweisen	передавать, направлять (кого-л., что-л. куда-л.)
Rande	свёкла
Wachmann	часовой
Ausmaß	размер, сила, размах
Stückchen	кусочек
Bedienung	прислуживание, обслуживание, прислуга
vorhersagen	предсказывать
verlockend	заманчивый, соблазнительный
Parfüm	духи
Zins	процент
beschimpfen	ругать
Berührung	прикосновение
Gelächter	смех, хохот
Todesursache	причина смерти
Rotwein	красное вино
Zugriff	хватка, приём
Treibstoff	топливо
hinüber	на ту сторону, туда
begrenzen	ограничивать (что-л.); проводить границы (чего-л.)
Erdnuss	арахис, земляной орех, китайский орех
widersetzen	sich ~ воспротивиться, сопротивляться, не соблюдать, не подчиняться
Kennzeichen	помета, признак, номерной знак, автомобильный номер
außerirdisch	внеземной, инопланетный
Notruf	экстренный вызов, служба спасения
gutgehen	пройти хорошо, наладиться
Strahl	луч
Pub	паб
mehrfach	неоднократно
rechtlich	правовой, юридический, честный
dreifach	троекратный, тройной
Schimmer	сверкание, блеск; игра (напр., драгоценных камней); мерцание; поблёскивание; слабый свет
solide	солидный
Vizepräsident	вице-президент
rauskriegen	выведать; разгадать
Schlaganfall	мед. инсульт, апоплексия, апоплексический удар
Einkauf	покупка
Dienstmädchen	служанка
Bund	союз, федерация, пучок
unterstellen	подчинять, приписывать, допускать
Feuerzeug	зажигалка
Abreise	отъезд
Heimweh	тоска по родине
teilweise	частично; отчасти, частью
teuflisch	чертовский, дьявольский; сатанинский; адский; ужасный
Wade	икра
Helfer	помощник
wirtschaftlich	экономический, хозяйственный
daraufhin	затем
nahezu	почти, практически
Eisenbahn	железная дорога
Schraube	шуруп
Agentur	агентство
Gegenzug	встречное движение; встречная колонна; противоход (движение колонны в обратном направлении; гимнастика)
Zeugin	свидетельница
erwägen	взвешивать, принимать во внимание (в расчёт); обдумывать, соображать
Begeisterung	воодушевление
Eintritt	вход
Psychologe	психолог
Erwägung	соображение
Anwesen	владение, недвижимость
Schweiß	пот, кровь
Heft	тетрадь, номер
Bub	мальчик, пацан
anstecken	прикалывать, накалывать (цветок, значок и т. п.)
miserabel	жалкий, несчастный
bombardieren	бомбардировать
übergehen	переходить
Abendbrot	ужин
Grube	яма, выработка, могила, выгребная яма
Bauernhof	хозяйство, усадьба
grundlegend	основной, основополагающий, коренным образом, коренной
Siegel	печать
Branche	отрасль
erniedrigen	унижать
unterbringen	помещать, подводить, подвешивать (что-л. подо что-л.)
ehrgeizig	честолюбивый
Schaufel	Лопата
Exmann	бывший муж
Bestrafung	наказание
Zwang	принуждение
aufzeichnen	(на)рисовать, (на)чертить
schimpfen	ругать
verwirklichen	реализовывать, самореализовываться, реализовываться
Buchhalter	бухгалтер
verkehrt	неверный, превратный, неправильный
Ruine	руина
zaubern	колдовать
Begräbnis	похороны, погребение, могила, склеп
andeuten	намекать, намечаться, вырисовываться
verringern	уменьшать, сокращать, снижать
Behauptung	утверждение
ausrasten	техн. освобождаться (от фиксатора)
einschüchtern	запугивать
Vorwand	предлог
bedecken	покрывать, накрывать
Herzschlag	сердцебиение, биение сердца
Waise	сирота /
Eigentümer	владелец
schwindelig	испытывающий головокружение
Zwischenfall	инцидент, происшествие, случай
eintragen	вносить, заносить, приносить
Streik	забастовка, стачка
spalten	разделять, раскалывать, колоть
künftig	будущий
Eintrittskarte	входной билет
verzehren	съедать, проедать; потреблять
zugehen	направляться, идти по направлению (к кому/чему-л.)
zerlegen	расчленять; разлагать; разбирать
Pulver	порошок, порох, деньги
stiften	прикреплять (штифтами)
Windel	пелёнка
Sattel	седло
Ablenkung	отклонение
Gastgeber	хозяин
Schlitten	санки, сани, тачка
verschlagen	заколачивать
aufladen	загружать, заряжать
gelaunt	настроенный; расположенный
Bäcker	пекарь, булочник
Haftbefehl	ордер на арест
Mumm	отвага, сила
buchstabieren	произносить по буквам
Kakerlake	прусак, чёрный таракан
führend	руководящий, ведущий; главный
Enkelkind	внук; внучка
Täuschung	обман; введение в заблуждение
erheblich	значительный
unauffällig	неприметный
verflixt	чёрт возьми, проклятье
vorig	прошлый, прошедший
Verfolgung	преследование, гонение
Zauberei	волшебство, колдовство
Gehör	внимание, слух
Heizung	отопление
Berechnung	вычисление
unbewaffnet	невооружённый, безоружный
einfrieren	замёрзнуть, заморозить
Auszeit	тайм-аут
Grundsatz	принцип, основное положение
Eindringling	незваный (непрошенный) гость
verüben	совершить, содеять, учинить
Zwecke	назначение
Schwung	мах
Atemzug	вдох
Muschel	раковина, ракушка, телефонная трубка
vorlegen	презентовать, пред(о)ставить, выложить
Lob	похвала, хвала, восхваление
Klempner	жестянщик, слесарь-сантехник
Obdachlose	бездомный, бездомные
hierfür	для этого, за это
hartnäckig	настойчивый, упорный
verhelfen	содействовать, способствовать (кому-л. в достижении чего-л.)
ehrenwert	почтенный, достойный уважения
rauslassen	выпустить, отпустить
zumute	на душе
Standort	место расположения (воинской части); гарнизон
Behälter	контейнер
Glied	член
Bäckerei	пекарня
Videospiel	видеоигра
anheuern	нанимать, принимать на службу (моряков торгового флота)
Weihnachtsgeschenk	рождественский подарок
fegen	подметать
erfrieren	замёрзнуть (умереть)
abkaufen	перех. покупать
Schlagzeile	заголовок
Festplatte	жёсткий диск
verschenken	дарить
Zahlung	уплата, платёж
fortfahren	уезжать, увозить, продолжать
keinesfalls	ни под каким видом, ни в коем случае; никоим образом; ничуть, нимало; отнюдь не
Packung	упаковка
Plage	кара, напасть, наказание, бремя
Vegetarier	вегетарианец
Verlegenheit	замешательство, неудобное положение
lutschen	сосать
Impuls	импульс
Senf	горчица
viermal	четыре раза, в четыре раза, четырежды, четырёхкратно
übermitteln	передавать, пересылать
hinfallen	падать, валиться, падать на колени
freigeben	открывать
bügeln	гладить ( погладить ), утюжить ( отутюжить )
Fassung	редакция
realisieren	реализовать
Neigung	наклон, наклонение, отклонение (движение)
Notwendigkeit	необходимость
heuen	косить сено
Vögelchen	пташка, птичка
lila	лиловый
Pulli	разг. пуловер, лёгкий джемпер (чаще всего с короткими рукавами)
Andenken	память, воспоминание (an о ком-л., о чём-л.)
grauenhaft	отвратительный
sündigen	грешить, согрешить
liebenswürdig	любезный, обходительный
Winde	лебёдка, ворот, домкрат, вьюнок
beträchtlich	значительный
bluffen	блефовать
Pest	чума
Turner	гимнаст
Höschen	штаны, штанишки
Antrieb	двигатель
qualifizieren	квалифицировать, аттестовать
Knall	треск
vage	неопределённый, неясный, смутный, нечёткий
Kinn	подбородок
verdrängen	вытеснять; оттеснять
unterziehen	подтягивать, подтаскивать; подводить (напр., балку подо что-л.)
buchstäblich	буквальный; дословный
dergleichen	тому подобное
Bewunderung	восхище́ние
Sünder	грешник
weitaus	намного, гораздо
Tritt	шаг
Schreck	страх, испуг, от страха, с испугу
schwindlig	голова кружится
durchschneiden	прорезать
Schwerkraft	сила тяжести
kitzeln	щекотать
Hingabe	преданность, самоотверженность
runterfallen	упасть вниз, свалиться
zurückverfolgen	проследить
geboren	урождённый, прирождённый
Zeugnis	свидетельство, показание, удостоверение
Vormittag	до обеда
Händchen	ручонка
entsorgen	удалять, ликвидировать, утилизировать (отходы)
Ostern	Пасха
genannt	названный, упомянутый
vierzig	сорок
Exfrau	бывшая жена
unbedeutend	незначительный, несущественный
Abschaum	отброс
ausnehmen	вынимать, извлекать; опорожнять; потрошить (птицу, рыбу)
Baustelle	стройплощадка
Wechsel	перемена, изменение, вексель
Feuerwehrmann	пожарник
kränken	обижать, оскорблять, задевать
wackeln	шататься, качаться; свободно сидеть, неплотно примыкать (напр., об инструменте в рукоятке)
Entlassung	смещение
beunruhigend	тревожный
Serviette	салфетка
Stromausfall	прекращение подачи электроэнергии
vermischen	смешивать, перемешивать
Bankkonto	банковский счёт
auskennen	разбираться в чём-либо
beschlagnahmen	конфисковать
Treffpunkt	место встречи
allererste	самый первый
Silvester	новогодний вечер, канун Нового года, Сильвестр
Säule	столб, колонна, столп, опора
umfassen	охватывать, перехватывать
Kerker	тюрьма, темница
Befragung	опрос; допрос
vorbeifahren	проезжать мимо (кого-л., чего-л.)
Geschrei	крик
Mais	кукуруза, маис
Rückweg	обратный путь
Schauspiel	пьеса
hineingehen	входить
meinerseits	с моей стороны, от меня
befestigen	прикрепить
Ferse	пятка
kaltblütig	зоол. холоднокровный
Verteidiger	защитник
Bekanntschaft	знакомство
Gewissheit	уверенность
tüchtig	умелый
melken	доить
lausig	вшивый
innerlich	внутренний
Lachs	лосось, сёмга
Frechheit	наглость
Mitteilung	сообщение
anprobieren	примерять
vertuschen	замять, скрыть ( дело)
pennen	дрыхнуть
Auseinandersetzung	критический разбор темы, анализ
Laus	вошь
abbrennen	сгореть дотла
Predigt	проповедь
Melone	дыня, котелок
Schnur	шнур, верёвка
Häuschen	домик
Wiederholung	повторение, повтор
durchqueren	пересекать
liebenswert	достойный любви
Lebewohl	прощание
Pfirsich	персик
entschärfen	обезвредить, смягчить, разрешить
wahrhaftig	истинный
erleuchten	освещать, озарять
Tapferkeit	храбрость, смелость
lebhaft	оживлённый, живой
stumpf	тупой
Besserung	выздоровление, поправка, улучшение
wegziehen	оттаскивать; оттягивать в сторону; уволакивать
Unheil	беда, несчастье
Aufführung	представление
ungezogen	невоспитанный, грубый; непослушный
Pfadfinder	бойскаут
Anschein	(внешний) вид, видимость
Weide	ива, верба, пастбище
Dorfbewohner	селянин, сельский житель
Schwan	лебедь
Staffel	сезон
durchgeknallt	чокнутый
Kürbis	тыква
nachschauen	смотреть, глядеть (вслед кому-л., чему-л.)
Reservierung	бронирование, резервирование
Kanzler	канцлер
Abdruck	отпечаток
Verehrer	почитатель, поклонник, обожатель
annähernd	приблизительный, примерный
abfinden	возмещать, компенсировать
glotzen	глазеть, уставиться (на кого-л., на что-л.)
einreden	внушать; убеждать
zerquetschen	раздавить
Gattin	жена, супруга
schwellen	пухнуть, опухать
künstlerisch	художественный; артистический
Kuppel	купол
überfordern	превосходить, много требовать
bescheren	сделать кому-либо рождественский подарок, подарить кому-либо что-либо на Рождество, давать, раздавать рождественские подарки
gewachsen	выросший, справляющийся
launisch	капризный, своенравный; прихотливый
Produzent	производитель
Ohrfeige	пощёчина, оплеуха
vertrauenswürdig	достойный (всякого) доверия
Möwe	чайка
gescheit	умный, толковый
bewerten	оценивать
proben	репетировать
orten	определять (устанавливать) местонахождение (координаты) (самолёта, судна)
entnehmen	вынимать, брать, понимать
Pfennig	(сокр. Pf) пфенниг (германская монета)
Wohnwagen	автодом, дача-прицеп, прицеп-дача
Gewahrsam	арест, заключение (в тюрьму), заточение
unversehrt	невредимый
Meisterschaft	чемпионат
anspruchsvoll	требовательный, взыскательный; претенциозный
Blei	свинец
Schwägerin	золовка, свояченница, невестка
rudern	грести
Dreieck	треугольник
Prügel	побои, палка, дубинка
Wachstum	рост
Küsschen	поцелуйчик
wegschicken	отсылать, посылать, отправлять
Belastung	нагрузка (действие); навьючивание, отягощение
grässlich	отвратительный, омерзительный
Fessel	кандалы
Verbrennung	ожог
erhaben	благородный
ausgleichen	возмещать, компенсировать
Examen	экзамен
hinreißend	увлекательный, пленительный, чарующий, восхитительный
Ex-Frau	бывшая жена
befallen	нападать (на кого-л., на что-л.), охватывать (кого-л.); постигать (кого-л., что-л.); поражать (кого-л., что-л., напр., о болезни)
reinziehen	втянуть, затащить
Polizistin	полицейский, женщина-полицейский
Ehering	обручальное кольцо
übersteigen	перелезать (через что-л.)
Darstellung	изображение; изложение
Flöte	флейта
schminken	красить, краситься
Hummer	омар, лобстер
Fortsetzung	продолжение
vorder	передний; находящийся впереди; передовой (напр., об окопе)
abschaffen	упразднять
Morgengrauen	рассвет
abbringen	отговаривать, переубеждать
anklopfen	постучаться, спросить
durchbrennen	перех. прожигать, пережигать
dalassen	оставлять, оставить
Bestandteil	составная часть
Fitnessstudio	тренажёрный зал, фитнес-клуб
sonnig	солнечный
Horrorfilm	Фильм ужасов
Schöpfung	сотворение
verkraften	использовать электрическую энергию (для чего-л.)
Weizen	пшеница
Traurigkeit	печаль, грусть
feierlich	праздничный, торжественный
versperren	загораживать; преграждать
einatmen	делать вдох, вдыхать
hinbekommen	привести (что-л.) в порядок [в нормальный вид], справиться (с чем-л.)
Kessel	котёл, котловина, окружение
prahlen	хвастаться
Wähler	избиратель
altern	стареть, стариться
anfreunden	sich ~ подружиться, сдружиться (с кем-л.)
Heu	сено
verstreuen	рассыпать; разбрасывать, рассеивать
erkunden	исследовать
Aufstieg	подъём, продвижение, восход, восхождение
verwüsten	опустошать, разорять
Geschwätz	болтовня
hervorrufen	вызывать
Lesbe	лесбиянка
gestrig	вчерашний
fromm	благочестивый
Kamm	расчёска, гребёнка
impfen	прививать, вакцинировать
Postbote	почтальон
Raubüberfall	разбойничий налёт, нападение с целью грабежа
lieblich	милый, миловидный, хорошенький, прелестный
durchdringen	проникать, пронизывать
Augenbraue	бровь
Weichei	размазня, слабак
oberflächlich	поверхностный, несерьёзный
Gastfreundschaft	гостеприимство
Wärter	сторож
Auster	устрица
beleidigt	обиженный, оскорблённый
Begabung	одарённость, дарование
Klarheit	ясность, прозрачность
vierzehn	четырнадцать
hinausgehen	выходить
Anordnung	расположение, расстановка, размещение; устройство
Gläubiger	кредитор, верующий
Aufruhr	восстание, мятеж, волнение, беспокойство
voreilig	опрометчивый, поспешный
fällig	подлежащий уплате, срочный
Prediger	проповедник
beständig	постоянный, неизменный
Wanne	ванна (ёмкость для купания)
Eingriff	вмешательство; принятие (решительных) мер
Sicherung	обеспечение, гарантия; сохранение, сохранность
abstreiten	оспаривать
Justiz	правосу́дие, юсти́ция
Unannehmlichkeit	неприятность
respektvoll	почтительный, уважительный
Vorstellungsgespräch	собеседование
nachweisen	доказать, подтвердить (документально, экспериментально); показать, обнаружить
preisgeben	разгласить
überstürzen	торопить
Mitbewohnerin	соседка по квартире
Scheinwerfer	прожектор, фара
beeinträchtigen	причинить вред (ущерб), (по)вредить (кому-л., чему-л.); нарушать (чьи-л.) интересы
Bordell	бордель
verlogen	лживый
nachlassen	ослабевать, спадать
Strumpf	чулок
Stiefvater	отчим
Bucht	залив
obdachlos	бездомный
rechtmäßig	законный
Drang	натиск, напор
weiterhelfen	помочь идти (двигаться) вперёд (кому-л.)
Gehaltserhöhung	повышение оклада
Übertragung	перенесение, перенос, перевод, передача
Ernährung	питание
Wurf	бросок
Heldin	героиня, герой (о женщине)
Verwaltung	администрация, управление
Kündigung	расторжение, увольнение
zusammensetzen	собирать, собираться, состоять из чего-либо
erschreckend	ужасающий, страшный
Pfeffer	перец
schnitzen	резать, вырезать
vollziehen	совершать, осуществлять; приводить в исполнение (напр., приговор)
Einheimische	местный, местные жители
Polizeibeamter	полицейский
Fahrgast	пассажир
bisherig	прежний
Reiz	раздражение, возбуждение
zugrunde	погибнуть, разрушить
einstecken	вкладывать (шпагу в ножны); засовывать, всовывать, сунуть
Stiftung	фонд (пожертвований, добровольных взносов) на благотворительные, культурные и т. п. цели
versiegeln	запечатывать; опечатывать
entzücken	восхищать
Gegenleistung	встречное исполнение
Präsentation	представление, презентация
Erdboden	земля; почва, грунт
rätselhaft	загадочный
Geburtstagsgeschenk	подарок ко дню рождения
vorenthalten	задерживать, не давать (что-л. кому-л.); незаконно лишать (чего-л.)
verrichten	исполнять
überspringen	перепрыгивать, перепрыгнуть, перескакивать, перескочить
glühend	раскалённый, горячий
verzaubern	заколдовать, околдовать; зачаровать, очаровать
Voraussetzung	условие, предпосылка
Quartier	квартира; жильё
Schmerzmittel	болеутоляющее
Schwindel	головокружение
öde	пустой, пустынный, бесплодный, скучный
ledig	холостой
Hebel	рычаг; рукоятка; коромысло; консоль, вага; домкрат
stürmisch	бурный (тж. перен.)
verabreichen	давать
Vorgehensweise	способ действия; метод; принцип
freudig	радостный, весёлый
zuziehen	тащить, тянуть (по направлению к чему-л.), подтаскивать, подтягивать (к чему-л.)
Ablauf	ед. ч. спуск, сток (воды, пруда)
Anker	якорь, анкер
besessen	одержимый (чем-л.), помешанный (на чём-л.); бешеный, неистовый
Trümmer	обломки, руины
Verwirrung	путаница, беспорядок
Gewand	одеяние, одежда, платье
Schwiegersohn	зять
Dynamit	динамит
Unordnung	беспорядок, непорядок, ералаш, неразбериха
antreiben	побуждать, мотивировать
Quark	творог, кварк
vorzüglich	превосходный
Auskunft	справка, справочная, совет
zurückfahren	ехать обратно, возвращаться назад
Pflaster	пластырь
surfen	сёрфинг
vereint	объединённый, вместе
ausführlich	подробный, детальный
Insasse	пассажир, седок, обитатель, жильцы
Impfstoff	вакцина
Kindermädchen	нянька, няня
Panne	авария
gefälscht	поддельный, подложный, фальшивый
Erbse	горох, горошина
kürzen	укорачивать
überwältigend	подавляющий (о большинстве, превосходстве)
Latte	брус, брусок, перекладина, стояк
Eiche	дуб
Traube	виноград
Henne	курица
Mülleimer	мусорное ведро
Ehepaar	супружеская чета, супруги
verpacken	упаковывать
vorliegen	существовать
hocken	сидеть на корточках
verschlechtern	ухудшать
Galgen	виселица
Schwimmbad	бассейн
austricksen	разг. обойти, обвести (противника)
Frequenz	частота
Straftat	преступление
Heiratsantrag	предложение о браке, брачное предложение, предложение руки и сердца
barfuß	босой, босоногий, босиком
Waisenhaus	дом (интернат) для сирот; детский дом
verleugnen	отрицать
herbei	при этом
bereithalten	держать наготове, приготовлять
rüberkommen	заходитьнсв, переходитьнсв, восприниматьсянсв, бытьнсв понятным
Bissen	кусок
besichtigen	посещать
Vereinigung	объединение
Wahrnehmung	восприятие
Wichtigkeit	важность
Anliegen	желание, стремление; просьба; требование; задача, дело
ertappen	поймать, застигнуть, заставать (кого-л. за каким-л. занятием)
monatlich	месячно
Bereitschaft	готовность
spendieren	угощать (чем-л.); раздавать; платить (за что-л.)
eingestehen	признавать
begründen	обосновать
weiterfahren	продолжать ехать (идти), ехать (идти) дальше
