Macht	мощь, сила, могущество, власть
zustoßen	захлопнуть (дверь)
verleihen	дать на время
Atem	дыхание, дух
ausbrechen	сбежать
widerlich	отвратительный, омерзительный, невыносимый
regieren	управлять, править
bevorzugen	предпочитать
Buchstabe	буква
Angestellte	служащая
Schätzchen	разг. птенчик (обращение), дорогая (обращение к женщине), зайка, любимая (обращение), милая (обращение), радость моя (обращение)
Behörde	орган власти, правительственное учреждение, государственный орган
einsteigen	садиться сесть )
einschalten	включать, подключиться
Affäre	(неприятное) дело; похождение; афера
fleißig	прилежный, старательный
einbrechen	вла́мываться, рушиться
zurückgehen	возвращаться, уменьшаться, спадать, происходить
Vorhang	занавеска
durchaus	непременно, вполне, в том числе, абсолютно
Heim	дом
Rückkehr	возвращение
beseitigen	устранять
Vorwurf	упрёк, укор
ungern	неохотно, нехотя
Ofen	печь, печка, Буда, Пешт
Widerstand	сопротивление, резистор
quälen	мучить
ausgerechnet	подсчитаный, вычисленный, как нарочно, как специально
rasieren	брить, бриться
Störung	беспокойство; помеха; нарушение; расстройство
Herrgott	Господь Бог
Krankenschwester	медсестра
Bedürfnis	потребность
Ausgabe	раздача, расход, издание, номер
Sekretärin	секретарша
befördern	перевозить, транспортировать, повышать в должности, поддерживать
Bursche	бурш
Herbst	осень
Biene	пчела
Liebhaber	любовник
edel	благородный
geeignet	пригодный, подходящий
vergangen	былой, минувший, прошедший
aufstellen	размеще́ние устано́вка
Tatort	место происшествия
frieren	мёрзнуть, мне холодно
ausrichten	направлять, устраивать, передавать, добиться
ablegen	снимать (одежду, обувь)
Verhandlung	слушание дела, переговоры
Märchen	сказка
schütteln	трясти
Pfarrer	священник
Ermittlung	разыскивание, обнаружение; выяснение, установление
Mittwoch	среда
reinigen	чистить
Alptraum	кошмар, кошмарный сон
Narbe	рубец, шрам, рыльце, дёрн
erzeugen	производить
neigen	наклоняться, наклонять, быть склонным
Zahnarzt	зубной врач, стоматолог, дантист
unabhängig	независимый
beurteilen	судить
Ausrede	отговорка
Gehalt	содержание, зарплата
Sarg	гроб
aufbringen	разг. (с трудом) открывать
Felsen	скала
Glaube	вера, уверенность
Fass	бочка
reingehen	войти, зайти внутрь
Laster	порок, грузовик
verdächtig	подозрительный
zünden	зажигать; воспламенять; взрывать, подрывать
erregen	возбуждать
Stirn	лоб
ablaufen	стекать, вытекать
Raumschiff	космический корабль, космическое судно
Brunnen	колодец
Hubschrauber	вертолёт
fünfte	пятый
unterzeichnen	подписывать
Schluck	глоток
regelmäßig	правильный; закономерный
verärgern	разозлить
Korrektur	поправка
verreisen	уехать она уехала
Heirat	свадьба
Bevölkerung	население
Einbruch	взлом
Erdbeben	землетрясение
aufrichtig	искренне
Gegenstand	предмет
spenden	жертвовать
ersticken	задыхаться, душить, тушить, гасить
Feder	перо, ручка, авторучка, пружина
Vorschrift	пропись, образец (письма)
verwickeln	спутывать, запутывать (пряжу)
hinfahren	отвозить (туда)
leuchten	светиться
aufhängen	вешать
Anklage	обвинение, упрёк
anklagen	(G и wegen G) обвинять (кого-л. в чём-л.), предъявлять обвинение (кому-л. в чём-л.)
Anlass	причина, основание
einmischen	вмешивать (тж. перен.)
zurzeit	сейчас, в настоящий момент
grob	грубый
pleite	банкротство, крах, неудача
ausreden	отговорить, договорить
freilassen	выпускать, освобождать, отпускать на волю
kleben	клеить, склеивать
anrichten	совершать
Datei	файл
ausgezeichnet	прекрасный, отличный, блестящий
soeben	только что
herunter	вниз (по направлению к наблюдающему)
Schirm	зонтик, зонт, экран
Glocke	колокол
rausholen	вытащить, достать
Ross	скакун, конь
Fleck	пятно
überfahren	переезжать, давить, проезжать
abziehen	удаляться, удалять, вычитать, точить
Verfassung	состояние, конституция
Unschuld	невинность, девственность
ohnmächtig	обморочный, без сознания, бессильный
bezaubernd	обворожительный, очаровательный
läuten	звонить
